Datetime,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LTIM,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHREECEM,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,WIPRO
2024-01-01 03:45:00+00:00,2844.300048828125,1023.5999755859375,5723.0,3394.5,1100.949951171875,6766.9501953125,1686.0,7308.10009765625,227.5500030517578,1020.9000244140625,5300.0498046875,1251.4000244140625,385.29998779296875,3909.050048828125,1166.989990234375,4075.0,2162.300048828125,1461.9000244140625,1698.199951171875,649.0999755859375,4177.89990234375,617.5499877929688,2646.85009765625,995.5999755859375,1607.199951171875,1540.75,465.6499938964844,878.5999755859375,1908.1500244140625,6269.14990234375,3520.89990234375,1707.6500244140625,10283.0,2679.89501953125,310.3500061035156,206.39999389648438,237.14999389648438,1290.800048828125,1432.9000244140625,644.9500122070312,28585.0,1255.8499755859375,1083.449951171875,792.9500122070312,140.4499969482422,3783.800048828125,1275.75,3671.0,10474.599609375,234.9250030517578
2024-01-01 04:45:00+00:00,2896.89990234375,1039.800048828125,5720.5,3395.5,1102.0,6749.5,1678.6500244140625,7294.35009765625,227.64999389648438,1025.25,5298.5498046875,1250.550048828125,386.1499938964844,3888.050048828125,1167.989990234375,4082.10009765625,2163.550048828125,1470.0,1702.6500244140625,649.0,4164.7001953125,614.8499755859375,2647.10009765625,1000.2999877929688,1604.050048828125,1547.449951171875,465.6499938964844,879.7999877929688,1908.25,6259.5,3519.10009765625,1703.800048828125,10261.0498046875,2688.994873046875,312.20001220703125,206.5,238.14999389648438,1291.675048828125,1427.75,645.2000122070312,28506.0,1255.199951171875,1080.199951171875,794.0999755859375,140.5500030517578,3784.949951171875,1276.0999755859375,3670.0,10462.0,235.6999969482422
2024-01-01 05:45:00+00:00,2929.5,1048.449951171875,5718.5498046875,3399.0,1102.5,6752.14990234375,1678.0,7305.0,227.52499389648438,1010.25,5308.75,1252.0,385.70001220703125,3904.550048828125,1169.5799560546875,4054.5,2154.0,1473.4000244140625,1703.1500244140625,649.4000244140625,4139.2001953125,615.0,2640.199951171875,1000.5999755859375,1603.0999755859375,1545.0999755859375,466.1499938964844,881.7000122070312,1915.449951171875,6273.10009765625,3513.699951171875,1704.5,10260.75,2691.405029296875,310.6499938964844,206.3000030517578,238.3000030517578,1292.574951171875,1429.75,644.5,28563.650390625,1260.800048828125,1081.6500244140625,792.2000122070312,140.3000030517578,3797.0,1281.25,3681.0,10445.5498046875,236.64999389648438
2024-01-01 06:45:00+00:00,2936.0,1053.050048828125,5718.7001953125,3391.0,1099.699951171875,6695.4501953125,1675.9000244140625,7311.9501953125,226.9499969482422,1007.7999877929688,5303.75,1250.449951171875,383.29998779296875,3911.85009765625,1167.679931640625,4046.5,2148.64990234375,1474.050048828125,1701.300048828125,649.0,4098.10009765625,613.9500122070312,2645.5,998.8499755859375,1601.949951171875,1549.5999755859375,468.04998779296875,880.4500122070312,1914.3499755859375,6286.7001953125,3503.89990234375,1700.4000244140625,10240.4501953125,2716.39990234375,310.1499938964844,206.0,238.4499969482422,1293.0,1429.050048828125,644.5499877929688,28600.05078125,1255.75,1080.5999755859375,793.0,140.1999969482422,3801.10009765625,1290.0,3676.25,10482.7001953125,239.0
2024-01-01 07:45:00+00:00,2940.5,1055.949951171875,5763.2998046875,3396.5,1100.550048828125,6703.10009765625,1677.800048828125,7315.5498046875,226.9499969482422,1012.25,5312.75,1253.5,383.8999938964844,3927.60009765625,1167.320068359375,4045.0,2154.800048828125,1492.8499755859375,1702.6500244140625,648.9500122070312,4104.14990234375,613.9500122070312,2656.199951171875,1000.0,1602.25,1555.0,469.0,881.9500122070312,1916.0,6316.5,3522.10009765625,1706.949951171875,10260.400390625,2724.43505859375,310.79998779296875,206.3000030517578,239.39999389648438,1297.5,1428.0,645.1500244140625,28551.0,1260.0999755859375,1088.9000244140625,790.5,140.25,3827.0,1300.5999755859375,3686.89990234375,10488.5498046875,241.6999969482422
2024-01-01 08:45:00+00:00,2911.0,1045.5,5745.10009765625,3393.199951171875,1098.050048828125,6693.2001953125,1675.0,7296.2001953125,225.875,1012.9500122070312,5320.5,1250.449951171875,380.6499938964844,3913.85009765625,1164.719970703125,4040.0,2127.5,1482.8499755859375,1697.050048828125,647.8499755859375,4109.10009765625,609.75,2652.10009765625,998.4500122070312,1597.8499755859375,1550.9000244140625,467.45001220703125,876.7999877929688,1908.5,6252.89990234375,3515.39990234375,1703.800048828125,10283.7998046875,2733.994873046875,309.04998779296875,205.25,237.9499969482422,1295.1500244140625,1430.4000244140625,642.2000122070312,28441.099609375,1260.199951171875,1079.5,790.25,139.64999389648438,3805.5,1296.199951171875,3673.949951171875,10447.5498046875,238.47500610351562
2024-01-01 09:45:00+00:00,2904.0,1041.0999755859375,5750.0498046875,3392.0,1096.0,6701.10009765625,1676.4000244140625,7290.0,225.64999389648438,1012.0,5307.7001953125,1250.050048828125,382.0,3915.89990234375,1163.0,4035.0,2127.300048828125,1481.4000244140625,1692.9000244140625,648.7000122070312,4118.5498046875,607.5,2646.75,994.0,1596.0,1548.25,465.79998779296875,875.8499755859375,1909.1500244140625,6250.0,3513.0,1703.300048828125,10270.0,2737.239990234375,309.45001220703125,204.9499969482422,238.25,1295.125,1432.0999755859375,638.2999877929688,28375.0,1260.0,1085.050048828125,792.0,139.6999969482422,3803.0,1292.699951171875,3679.85009765625,10464.0,237.60000610351562
2024-01-02 03:45:00+00:00,2889.35009765625,1043.0999755859375,5722.0,3362.0,1091.5,6635.14990234375,1677.5,7341.85009765625,226.64999389648438,1022.0,5280.0498046875,1270.550048828125,387.70001220703125,4034.050048828125,1182.4000244140625,3952.300048828125,2110.25,1472.9000244140625,1692.3499755859375,645.5499877929688,4064.85009765625,614.5999755859375,2631.949951171875,993.25,1587.0999755859375,1536.25,467.04998779296875,874.2999877929688,1890.0,6169.0498046875,3483.699951171875,1671.0999755859375,10260.0,2727.294921875,308.0,205.85000610351562,238.14999389648438,1298.0,1430.550048828125,639.4000244140625,28171.400390625,1287.949951171875,1087.449951171875,785.25,139.0500030517578,3794.050048828125,1281.25,3666.050048828125,10189.0498046875,236.10000610351562
2024-01-02 04:45:00+00:00,2865.89990234375,1043.0,5722.10009765625,3371.050048828125,1091.6500244140625,6581.2001953125,1677.949951171875,7360.9501953125,225.39999389648438,1019.7999877929688,5245.85009765625,1265.550048828125,391.0,4012.25,1178.010009765625,3904.300048828125,2091.0,1465.8499755859375,1699.0,645.4000244140625,4040.0,613.75,2624.0,986.2999877929688,1583.800048828125,1529.5999755859375,465.1000061035156,863.5499877929688,1884.0,6160.0498046875,3446.800048828125,1658.6500244140625,10191.7001953125,2705.0,303.79998779296875,205.85000610351562,237.10000610351562,1289.25,1426.75,637.9500122070312,27988.05078125,1285.3499755859375,1084.300048828125,784.4500122070312,137.85000610351562,3785.10009765625,1277.199951171875,3661.0,10110.75,233.8000030517578
2024-01-02 05:45:00+00:00,2912.050048828125,1067.199951171875,5728.5498046875,3378.0,1088.050048828125,6595.14990234375,1675.9000244140625,7364.4501953125,226.375,1021.25,5244.4501953125,1271.699951171875,391.8500061035156,4013.10009765625,1184.0,3895.5,2100.64990234375,1466.0,1699.300048828125,645.4000244140625,4057.300048828125,613.25,2618.39990234375,985.5499877929688,1581.5,1527.449951171875,466.54998779296875,866.9000244140625,1879.050048828125,6148.4501953125,3448.0,1658.3499755859375,10207.2001953125,2730.300048828125,304.20001220703125,209.3000030517578,237.89999389648438,1289.824951171875,1429.050048828125,641.9000244140625,28164.0,1291.0,1094.0,785.4000244140625,138.5500030517578,3781.0,1275.800048828125,3659.949951171875,10203.349609375,233.60000610351562
